,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
39,2021-08-19 19:52:26,0.0,-1.2848032443014903e-09,1.2404587264094199e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2021-08-19 20:22:26,0.0,-1.308578349644014e-09,1.3212757686040388e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2021-08-19 20:52:26,0.0,-1.3582884011750998e-09,1.2740112137254189e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2021-08-19 21:22:27,0.0,-1.2795754764449653e-09,1.3176986789000446e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2021-08-19 21:52:26,0.0,-1.280315839528357e-09,1.2367572919686114e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2021-08-19 22:22:26,0.0,-1.3551119728765913e-09,1.1484352787984187e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2021-08-19 22:52:27,0.0,-1.2090207263586506e-09,1.3267280038515465e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2021-08-19 23:22:26,0.0,-1.2273384970634265e-09,1.2967568425161794e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2021-08-19 23:52:26,0.0,-1.323848980548738e-09,1.2016444047496659e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2021-08-20 00:22:26,0.0,-1.2178392724861237e-09,1.310522039770877e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2021-08-20 00:52:26,0.0,-1.339536674035573e-09,1.3661224136261386e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2021-08-20 01:22:26,0.0,-1.223380152317349e-09,1.291502322493518e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2021-08-20 01:52:26,0.0,-1.312341731935723e-09,1.2598721459991546e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
