,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
21,2021-08-19 10:52:27,344.01118580457705,-534.0658289844646,1220.2609934202521,344.01118580457705,344.01118580457705,0.0,0.0,0.0,0.0,0.0,0.0,344.01118580457705
22,2021-08-19 11:22:27,340.7231288084137,-504.14751835079,1181.1126088951112,340.7231288084137,340.7231288084137,0.0,0.0,0.0,0.0,0.0,0.0,340.7231288084137
23,2021-08-19 11:52:26,337.39637108493037,-571.6118564982281,1141.7559219853492,337.39637108493037,337.39637108493037,0.0,0.0,0.0,0.0,0.0,0.0,337.39637108493037
24,2021-08-19 12:22:27,334.0659149092808,-503.8196470877587,1119.2096482132663,334.0659149092808,334.0659149092808,0.0,0.0,0.0,0.0,0.0,0.0,334.0659149092808
25,2021-08-19 12:52:26,330.73915718579747,-634.224812777032,1219.8392848096944,330.73915718579747,330.73915718579747,0.0,0.0,0.0,0.0,0.0,0.0,330.73915718579747
26,2021-08-19 13:22:27,327.376292277238,-503.08591909202164,1132.460982797075,327.376292277238,327.376292277238,0.0,0.0,0.0,0.0,0.0,0.0,327.376292277238
27,2021-08-19 13:52:26,324.01716181055366,-552.5711326470282,1196.370696467651,324.01716181055366,324.01716181055366,0.0,0.0,0.0,0.0,0.0,0.0,324.01716181055366
28,2021-08-19 14:22:26,320.6561641229318,-459.4522339826732,1146.169849991253,320.6561641229318,320.6561641229318,0.0,0.0,0.0,0.0,0.0,0.0,320.6561641229318
29,2021-08-19 14:52:26,317.29504642604167,-558.7679726020243,1159.2657717346724,317.29504642604167,317.29504642604167,0.0,0.0,0.0,0.0,0.0,0.0,317.29504642604167
30,2021-08-19 15:22:26,313.93392872915155,-550.537948721833,1119.1152648182813,313.93392872915155,313.93392872915155,0.0,0.0,0.0,0.0,0.0,0.0,313.93392872915155
31,2021-08-19 15:52:26,310.5728110322614,-597.9413290801881,1160.124394096424,310.5728110322614,310.5728110322614,0.0,0.0,0.0,0.0,0.0,0.0,310.5728110322614
32,2021-08-19 16:22:26,307.21169333537136,-576.3035912815355,1124.7213287606908,307.21169333537136,307.21169333537136,0.0,0.0,0.0,0.0,0.0,0.0,307.21169333537136
33,2021-08-19 16:52:26,303.8505758146183,-525.7110528800924,1102.8549151284342,303.8505758146183,303.8505758146183,0.0,0.0,0.0,0.0,0.0,0.0,303.8505758146183
34,2021-08-19 17:22:26,300.48945829386525,-561.0199719366572,1135.1369477313992,300.48945829386525,300.48945829386525,0.0,0.0,0.0,0.0,0.0,0.0,300.48945829386525
35,2021-08-19 17:52:26,297.12834077311226,-578.1660875512835,1113.2774828614747,297.12834077311226,297.12834077311226,0.0,0.0,0.0,0.0,0.0,0.0,297.12834077311226
36,2021-08-19 18:22:26,293.7672234572239,-567.394468451623,1138.7402485605903,293.7672234572239,293.7672234572239,0.0,0.0,0.0,0.0,0.0,0.0,293.7672234572239
37,2021-08-19 18:52:26,290.40610614133556,-598.5722007893875,1138.880302173813,290.40610614133556,290.40610614133556,0.0,0.0,0.0,0.0,0.0,0.0,290.40610614133556
38,2021-08-19 19:22:28,287.0412542506518,-585.8782567183689,1128.0103772205755,287.0412542506518,287.0412542506518,0.0,0.0,0.0,0.0,0.0,0.0,287.0412542506518
39,2021-08-19 19:52:26,283.6838714899657,-587.5838680901347,1145.2180224243893,283.6838714899657,283.6838714899657,0.0,0.0,0.0,0.0,0.0,0.0,283.6838714899657
40,2021-08-19 20:22:26,280.32275415446236,-586.3363386559652,1160.4308419272504,280.32275415446236,280.32275415446236,0.0,0.0,0.0,0.0,0.0,0.0,280.32275415446236
41,2021-08-19 20:52:26,276.96163681895905,-596.1118019671653,1179.3562999265348,276.96163681895905,276.96163681895905,0.0,0.0,0.0,0.0,0.0,0.0,276.96163681895905
42,2021-08-19 21:22:27,273.59865196166055,-511.64394355324106,1122.0285007175737,273.59865196166055,273.59865196166055,0.0,0.0,0.0,0.0,0.0,0.0,273.59865196166055
43,2021-08-19 21:52:26,270.2394016794395,-605.2097096257187,1122.0045262667306,270.2394016794395,270.2394016794395,0.0,0.0,0.0,0.0,0.0,0.0,270.2394016794395
44,2021-08-19 22:22:26,266.8782841096798,-575.1259584435455,1173.5637499562145,266.8782841096798,266.8782841096798,0.0,0.0,0.0,0.0,0.0,0.0,266.8782841096798
45,2021-08-19 22:52:27,263.51529892736363,-548.2293259185715,1193.0140140017108,263.51529892736363,263.51529892736363,0.0,0.0,0.0,0.0,0.0,0.0,263.51529892736363
46,2021-08-19 23:22:26,260.1560483204859,-601.6920788659806,1139.1008368197347,260.1560483204859,260.1560483204859,0.0,0.0,0.0,0.0,0.0,0.0,260.1560483204859
47,2021-08-19 23:52:26,256.7949304258891,-562.0112820959527,1036.7885148852017,256.7949304258891,256.7949304258891,0.0,0.0,0.0,0.0,0.0,0.0,256.7949304258891
48,2021-08-20 00:22:26,253.4338122801277,-533.574311701685,1177.2285072903785,253.4338122801277,253.4338122801277,0.0,0.0,0.0,0.0,0.0,0.0,253.4338122801277
49,2021-08-20 00:52:26,250.0726941343663,-565.1501874353704,1129.281646341008,250.0726941343663,250.0726941343663,0.0,0.0,0.0,0.0,0.0,0.0,250.0726941343663
50,2021-08-20 01:22:26,246.71157598860492,-657.6583215740447,1082.101055202096,246.71157598860492,246.71157598860492,0.0,0.0,0.0,0.0,0.0,0.0,246.71157598860492
51,2021-08-20 01:52:26,243.35045784284358,-631.5532699722844,1061.825947586307,243.35045784284358,243.35045784284358,0.0,0.0,0.0,0.0,0.0,0.0,243.35045784284358
52,2021-08-20 02:22:26,239.98933969450025,-554.0599739657788,1127.6059195917414,239.98933969450025,239.98933969450025,0.0,0.0,0.0,0.0,0.0,0.0,239.98933969450025
53,2021-08-20 02:52:26,236.6282215461569,-645.2998293226435,1034.5992862113817,236.6282215461569,236.6282215461569,0.0,0.0,0.0,0.0,0.0,0.0,236.6282215461569
54,2021-08-20 03:22:26,233.26710339781357,-649.4951292185018,1051.691162207525,233.26710339781357,233.26710339781357,0.0,0.0,0.0,0.0,0.0,0.0,233.26710339781357
55,2021-08-20 03:52:26,229.9059854824498,-681.388265303123,1030.0543431237502,229.9059854824498,229.9059854824498,0.0,0.0,0.0,0.0,0.0,0.0,229.9059854824498
56,2021-08-20 04:22:26,226.54486756708604,-639.9086330884467,1010.7709952999342,226.54486756708604,226.54486756708604,0.0,0.0,0.0,0.0,0.0,0.0,226.54486756708604
57,2021-08-20 04:52:26,223.18374965172228,-671.615829812938,1008.1827527883014,223.18374965172228,223.18374965172228,0.0,0.0,0.0,0.0,0.0,0.0,223.18374965172228
58,2021-08-20 05:22:26,219.8226317694851,-633.4614181931214,1152.5518947532123,219.8226317694851,219.8226317694851,0.0,0.0,0.0,0.0,0.0,0.0,219.8226317694851
59,2021-08-20 05:52:26,216.4615138872479,-686.3115443127701,1104.2906289035577,216.4615138872479,216.4615138872479,0.0,0.0,0.0,0.0,0.0,0.0,216.4615138872479
60,2021-08-20 06:22:26,213.10039600501074,-658.7723168956053,1120.617909165872,213.10039600501074,213.10039600501074,0.0,0.0,0.0,0.0,0.0,0.0,213.10039600501074
61,2021-08-20 06:52:26,209.73927799574412,-665.8932965305793,1056.2703977412573,209.73927799574412,209.73927799574412,0.0,0.0,0.0,0.0,0.0,0.0,209.73927799574412
62,2021-08-20 07:22:26,206.37815998647753,-630.2992262508883,1049.3944677372976,206.37815998647753,206.37815998647753,0.0,0.0,0.0,0.0,0.0,0.0,206.37815998647753
63,2021-08-20 07:52:26,203.01704197721094,-642.4091257660282,1029.4747595813008,203.01704197721094,203.01704197721094,0.0,0.0,0.0,0.0,0.0,0.0,203.01704197721094
64,2021-08-20 08:22:27,199.65405684695193,-664.6529167717929,973.1181598480056,199.65405684695193,199.65405684695193,0.0,0.0,0.0,0.0,0.0,0.0,199.65405684695193
65,2021-08-20 08:52:26,196.29480629207356,-687.3294669672956,1057.6508110908323,196.29480629207356,196.29480629207356,0.0,0.0,0.0,0.0,0.0,0.0,196.29480629207356
66,2021-08-20 09:22:26,192.93368844950487,-653.4882107069,1023.9460883241717,192.93368844950487,192.93368844950487,0.0,0.0,0.0,0.0,0.0,0.0,192.93368844950487
67,2021-08-20 09:52:26,189.57257057002744,-650.7166677955123,962.5753201986981,189.57257057002744,189.57257057002744,0.0,0.0,0.0,0.0,0.0,0.0,189.57257057002744
68,2021-08-20 10:22:26,186.21145269054998,-638.6674238515849,992.4459895717797,186.21145269054998,186.21145269054998,0.0,0.0,0.0,0.0,0.0,0.0,186.21145269054998
69,2021-08-20 10:52:26,182.8503348110725,-661.5733390801988,1083.1084358440667,182.8503348110725,182.8503348110725,0.0,0.0,0.0,0.0,0.0,0.0,182.8503348110725
70,2021-08-20 11:22:26,179.48921693159508,-636.8553325409849,1023.9104703274156,179.48921693159508,179.48921693159508,0.0,0.0,0.0,0.0,0.0,0.0,179.48921693159508
71,2021-08-20 11:52:26,176.12809906469755,-646.9193749401885,1000.2752212962761,176.12809906469755,176.12809906469755,0.0,0.0,0.0,0.0,0.0,0.0,176.12809906469755
72,2021-08-20 12:22:27,172.7651139100962,-721.8188222136324,1014.5956609044708,172.7651139100962,172.7651139100962,0.0,0.0,0.0,0.0,0.0,0.0,172.7651139100962
73,2021-08-20 12:52:27,169.4039960431987,-701.7864872894353,1013.9889144305592,169.4039960431987,169.4039960431987,0.0,0.0,0.0,0.0,0.0,0.0,169.4039960431987
74,2021-08-20 13:05:27,167.9475116041605,-680.5582710439787,1071.215431092756,167.9475116041605,167.9475116041605,0.0,0.0,0.0,0.0,0.0,0.0,167.9475116041605
75,2021-08-20 13:05:58,167.88962568414746,-632.6991968165279,1015.2992966511661,167.88962568414746,167.88962568414746,0.0,0.0,0.0,0.0,0.0,0.0,167.88962568414746
76,2021-08-20 13:09:23,167.50683169696435,-717.6577023442258,973.0214897773781,167.50683169696435,167.50683169696435,0.0,0.0,0.0,0.0,0.0,0.0,167.50683169696435
77,2021-08-20 13:22:27,166.04287808918312,-670.9087199468767,1035.2343364360881,166.04287808918312,166.04287808918312,0.0,0.0,0.0,0.0,0.0,0.0,166.04287808918312
78,2021-08-20 13:39:26,164.14011185662048,-716.0265568663995,991.2896007512546,164.14011185662048,164.14011185662048,0.0,0.0,0.0,0.0,0.0,0.0,164.14011185662048
79,2021-08-20 13:52:26,162.6836273998993,-631.7968399137632,1051.3268230190072,162.6836273998993,162.6836273998993,0.0,0.0,0.0,0.0,0.0,0.0,162.6836273998993
80,2021-08-20 14:09:27,160.77712659223712,-721.2971690671426,1040.7913401394676,160.77712659223712,160.77712659223712,0.0,0.0,0.0,0.0,0.0,0.0,160.77712659223712
81,2021-08-20 14:22:26,159.3225094236095,-734.4981613234146,1035.2658002985127,159.3225094236095,159.3225094236095,0.0,0.0,0.0,0.0,0.0,0.0,159.3225094236095
82,2021-08-20 14:52:26,155.96139144731967,-680.5491534949227,985.4466073330291,155.96139144731967,155.96139144731967,0.0,0.0,0.0,0.0,0.0,0.0,155.96139144731967
83,2021-08-20 15:22:26,152.60027347102985,-661.0468680949228,984.9155189290491,152.60027347102985,152.60027347102985,0.0,0.0,0.0,0.0,0.0,0.0,152.60027347102985
84,2021-08-20 15:52:26,149.23915549474,-677.9737733997207,975.1048397433425,149.23915549474,149.23915549474,0.0,0.0,0.0,0.0,0.0,0.0,149.23915549474
85,2021-08-20 16:22:26,145.87803751845018,-682.1232938442154,970.9050335306515,145.87803751845018,145.87803751845018,0.0,0.0,0.0,0.0,0.0,0.0,145.87803751845018
